stockname,datetime,news,link
GABRIEL,2026-04-06 05:17 IST,"CJ Kayfus, Gabriel Arias drive in 2 runs apiece as Guardians down Cubs 6-5 to split doubleheader - Toronto Star",https://news.google.com/rss/articles/CBMikwJBVV95cUxOc1hlY2RtTU1DSXgtWnlkWV9Cakw2QTZJQThKSkhQZndOZW9feEtkc0JZcUZ1T3lKVEp5WDNTak1UN051cFh3NzkyZjd5ZF9UUm0wOWRsUDBoVGNlYWl3djVqNy1jelA3YmZYRnBmdGRmUzRLUFFhTGwtWk5jU3JNV1dsN1NoOG1sWWpRRHNBVE0wQnhKR3NIZHhQOGR6alZZQXVLSFpjdEhfR2NfVEtmN042WldUQVFVUFBfQU1JT0RYaERjUzJxdEN0b0thSmVwRmVLSzliWnpjODNXYnlyUFViczJTNHNaUkE3RUVTVTJKN3lPSWZ6VGtpTVlabjBMVlA0eUtrNnU5MDNqWFphREhWcw?oc=5&hl=en-US&gl=US&ceid=US:en
GABRIEL,2026-04-05 12:01 IST,Gabriel India Ltd is Rated Hold by MarketsMOJO - Markets Mojo,https://news.google.com/rss/articles/CBMirAFBVV95cUxNLU1sWF9JYklIcVUzbW1RYVdWbW5qZ1JoS1dtQ1VMbGxveDdFbXZoUy1mdWUyb25sd2FvVUI4YjYyMWFUUWR2UDJwUmhoVlpjbXFDSE1hM2tJallHVjQxWDJSVWxaQUR4RjB0aUxiYXkta0VsdFVmSjY3dldWSnNXSUVuSXAwd29Kd3BPMjVkTmQ0N3lJMXdKOTlDT28wMS02bXpzSWFyY1o4SFpp?oc=5&hl=en-US&gl=US&ceid=US:en
GABRIEL,2026-04-04 01:04 IST,Gabriel India Ltd Technical Momentum Shifts Amid Mixed Indicator Signals - Markets Mojo,https://news.google.com/rss/articles/CBMiygFBVV95cUxOSkNSSjdZUjM4VTdHYUpHZW9acGQ0UHk1UVo2SGwtd2w3T1ZrSDJSSzNIcnh4bzFpc3BPZmhEMENoNlo2TXdoNUh2X3lUdVNrQzFILWJLZzZIWXFpb1BDYUxxY0pIam5wU2VEbDljLWFUWTBsdlQ1VWNfekYzeENOckllVlZXYUtLYlU0RXdjcU02M08xUVh6YjR1cFZHTGRZYkRFRHVweXZaZHNwdlJJZkFCbmxSYWh5dU83d29mNDRJWHZJa3ZIYm9B?oc=5&hl=en-US&gl=US&ceid=US:en
BLUEDART,2026-04-10 23:23 IST,Blue Dart Express reports low-severity cyber security incident; no data breach reported - CNBC TV18,https://news.google.com/rss/articles/CBMi6wFBVV95cUxOTHg2a3ZkRXBjUm1Fbi1pWWtKMlkwTFFtamppQjVUVkM2QXlDWlRxemFHeWJMSHRSWGY2WklnRjVFVGk4R3QzeVdmTkFSdno4XzZyYzQyUG45UU1EQ0s4MmZxVE0zYmdieHhGeDhKWHQ0X1c1X0l2N0VldF9VRDd4MTV3U1Z2RU45S0pBQmItUzRCY2RXaXdxV1BQUVFlX3g1R2M2OEN0Ri10emdBQm1RaGJSMUZlWDdnT3RONjFIUnFoTTRWWS1TRXlBQTZfaFk2YjhuRWVrM1RZX1YzWGlTZkxTdGRMcUZMZkNN0gHwAUFVX3lxTE1BUnpOZVFHWFN6a2dIUTVINTctQnNscmZiRnVYTmFvQVQxY0x5WDFKNkZEczRWZEtQTU81al96dENSZWdvbTJYR2luVHl3dGFYdWl5SDl1bHBWeDVvekxoTWlDZ3ZCN1c3RE1TOWRudnM2bG94b2MyWXE5QkpVNXRacGFicVhsVDZEeU5RVTdSSkVWOGNNZmZnc3ZYdm5NeEFicGdSejlFYU1Ob0xvQXd6RGFMdzJxWDNKZjRIeVFKdmxzaVFDQWxZMEJ4X1VuZzFXQ1lMNlo4V1FWZnZ0UzcyUG1icTJGNXJrVzVHMXd1TA?oc=5&hl=en-US&gl=US&ceid=US:en
BLUEDART,2026-04-10 21:25 IST,Blue Dart Express reports low severity IT security incident with no data breach - Business Upturn,https://news.google.com/rss/articles/CBMivAFBVV95cUxPS3YtOFdBSk8xVkpRdU9KSHcxT3YwX1AwaE9jQThPbzBkOE5MZzZYVjRyZUctdXlCdlJ4UXpvdDJkUnd1NUMtSVp0Z2U4OTdJbzRtNHF5dXh2cUJtSVpqYVZKSlA1dFVWM3lGY3VjZ3ZIdTRrZ3BrTkNZWmVySEZqTXhYaTVOeUxVRC1PcjZiN1Rkd3FSOE1kTmplZnVUdE4wSGJyclh5N3ZlMUFGZk51U3Y5UFBfU041MjBBWA?oc=5&hl=en-US&gl=US&ceid=US:en
BLUEDART,2026-04-10 21:22 IST,Blue Dart Express Company Addresses Minor IT Security Incident - InvestyWise,https://news.google.com/rss/articles/CBMihAFBVV95cUxOVUlMTmRjR05XVVJNQVlvczFFNkJBaUp4WkR5TzVvMTNHOEZwZ3hWWW93bWUzNElUdzd2ajRwSWxlS0NHbWgtODRKbjdac3FBV1ptdlE3ck14REdDU2xLRnRLVnFha0t0QktMWU1xajNJdXpUSEF2Ylh6Z1FqNXpWbTc4aTA?oc=5&hl=en-US&gl=US&ceid=US:en
BLUEDART,2026-04-10 10:06 IST,Blue Dart Express Opens Special Window for Physical Share Transfer and Dematerialisation - scanx.trade,https://news.google.com/rss/articles/CBMi3gFBVV95cUxQNE1YbE11VmJiLU92VG9UR2p4OEZxQmFxUXZDVFFOSUt4VzNKRmt4cVVzNFRNWDhxQWhzVkRGLXpQV1ctOVJvQzVURjI3elRxUU0tUzU1bXVYcFNiOWpwTEphQXRkamhMQXJlRHpaZG1CYVNTOWVUa003NFBYYnhJUWVJbHo4M2I2Y1BlTi14YUtvUDZxLUlTOC1lVFlHQ0dnb01YU0ZTYWtRb3JSRjBpYU9ab1RNb2laeFV2Um93dnJfbUd5cUJmOVhzZFFTZ1NiVTJ2YzZzbldicnB2b3c?oc=5&hl=en-US&gl=US&ceid=US:en
BLUEDART,2026-04-08 11:28 IST,Blue Dart Express Limited Stock Forecast Summary - Meyka,https://news.google.com/rss/articles/CBMiXEFVX3lxTE1uX1NLZ3BHOTA5dFNHU1ZpOFdNQlJhMFh6Vmp1VHlpZWwyTkNuZ2hCZ2tQX2pHZEhsaGt1S1g5ZTk2U2FYUXdUR0VtNmxnOGFocVlVaUxYQ2JvTjlR?oc=5&hl=en-US&gl=US&ceid=US:en
BLUEDART,2026-04-08 03:37 IST,Blue Dart introduces ‘Rakhi Express’ offer to celebrate bond of love - The News Mill,https://news.google.com/rss/articles/CBMifkFVX3lxTFA5eUxueDN1MVdPcHFjRDFab2FLOUN1dW1WSWtnMlZmU25JZTNQS1dSdDJwUmxZempCMU9BWFg1VS1FTFpaYTE4YWlzU2tjNTRMZUd6aVZNVlRhNXp3SDI2dS1oNzdQZm56Tlh1OUN4dXdJaHBRd3ZUQVlJZ1ZSZw?oc=5&hl=en-US&gl=US&ceid=US:en
BLUEDART,2026-04-06 01:37 IST,"Blue Dart Express Ltd Falls to 52-Week Low of Rs 4,888 Amidst Market Pressure - Markets Mojo",https://news.google.com/rss/articles/CBMisgFBVV95cUxPUm04S1d5azNmSlNta29mWHg3eXVDWWRRNnQtVTI0am1zOTk4R3dKT0pQSjRRVzJsakJ4WnRQODlTTU0zMTZQR2FiV1NEMDRiU25TczZqTF9mLVloMVp6dUZEeUJ5clMwaUZGQThjSlNwak8wOWN0RUQzZ3RzYk9pS0ZoUXd0RGZCX1JWU2dVbjViR1dKeU5WanZkT0kwbElxbzMtSVdMS3pacWRBWFJJQnhB?oc=5&hl=en-US&gl=US&ceid=US:en
BLUEDART,2026-04-05 12:47 IST,Blue Dart Express Ltd is Rated Hold - Markets Mojo,https://news.google.com/rss/articles/CBMingFBVV95cUxQV2RsV3ZfLXJxU1V0VUJnRXhFTXFCX1VsR3E4OGRDSHhTZjk3bE1fQlBxOGpmdlNUUDMtMTNhRTNXeUVsWHZFc0Ftby0yNk1iYXpwRVFKUTFUWS1FUU1fMmpMd1k1WmxEZE1zRzhVUnMydWtDRjJhbW5mVlpXc1gtX1FpeTdsVjl5bUVGTTAtM2JwenZOLXZuZ1NpNUhXdw?oc=5&hl=en-US&gl=US&ceid=US:en
BLUEDART,2026-04-04 08:02 IST,Blue Dart announces Q2 results with new all-time highs for revenue and earnings - The News Mill,https://news.google.com/rss/articles/CBMisgFBVV95cUxQUy1FTm9KVHdXQVpjVWVnVDRoUWZsUldRV054Vk01Tk1PdTJ2SW5aT1l6N3plYXg4dEFOcko0ODR5ZXU4T3Nib2djX1JmMGUxUnNRYjA3ZGhRazl4a0Y5YXpzR0FXOXZUc3d6Ympob3A1OUZoX1FlNkpNRjItdE9hQjNuNlQySlgwUGdNRXptT1dkaEhseGJKRGIyZTNqQVB0ejJYQUYxQU43OFJfWUZPQkhR?oc=5&hl=en-US&gl=US&ceid=US:en
ITC,2026-04-10 23:20 IST,"ITC, HUL shares offer up to 31% upside: Why brokerage sees a 'Buy' opportunity - Business Today",https://news.google.com/rss/articles/CBMi1AFBVV95cUxNQ1FTSks4ZGl6bHJ6VEZoOWFWNE5VN0ZrMnNkQVpVZUhqRFJoYU9SbkNEMVladVpZWDZjT2FZc0FYRG1hek5TbTMwMGtUb0lfSEVWenFVSGpXcWx5bWJNVjU3X2VKOXZtbXZ2cUxrYW5jS29OTnRDYmF1b1BEa2VZN1pqWEd0ZXBObUhMbHhOQmtNRmJMY19tQlZ5UjhDdm5ULTBfQzZtMS1qdkhIb3YzSEFfWDFCMDgzSVdzVkZTZkJXdVVrS19yYXJrT0tZQlc3dlFEWtIB2gFBVV95cUxPUk1iVHVjci1YMWpsQnRfYkU1NUlOVE9QLWFJUEp4aFJXVk1RU1ZCSW80OWFBTzZyZDl0VWdxWTJSVkxHU01Dc1lidThBUnhMdmJGNlJsal92RzdyNU9SLXRpc1RSTGxualRPVjRacTMxdC1ZckxZQ0ZSLU9hUGlDQ3EwM3dzQ0hyajF6SkVsU3RnRW5SeXpmZlVNSUNWNmJ6X295a0ZKeU5RSXQ4VWRXb0RpYUs5V211VnVKTWN2QkxBcW9DdW5STGQ1d3FnbGtlTHg5bXV2SzY1UQ?oc=5&hl=en-US&gl=US&ceid=US:en
ITC,2026-04-10 16:02 IST,"ITC climbs Friday, underperforms competitors - MarketWatch",https://news.google.com/rss/articles/CBMixAFBVV95cUxPdGVfMVhwcDZucWtnc08wSmhIb1Y2VG5iX1Q1T1hldEszWXpzcjNJYy1CTWxNR09Reml0SEttYlpiYVlsZ2RoTzB3aS1kMnVFSFVweU8yX0x2Q09CMHRhZFpPRVpwdlpvbnlZMU16UUxqdkx3RC1tSk43YnU2YjRyY19EbmYwX19VQTNCR2dIUWZ4WW14VGhidWQ3eVhLVXFEOWxsNG5ycjhueUZXQ1ZwdHJDY2ZOdVRfZTdyLXFieDRGcjdF?oc=5&hl=en-US&gl=US&ceid=US:en
ITC,2026-04-09 16:02 IST,"ITC rallies Thursday, outperforms market - MarketWatch",https://news.google.com/rss/articles/CBMivwFBVV95cUxQYU5oMkRQdlluSWd0RHhXRDUzdkdhMWlBRWlwcG10SHVjVEtQSG1RNENiVFBqN2FNZGdxLXNqWW9tM1MtS1VNbXpkQmsxWV9ZOG56TUEyTmNHTlpnMk9jZ0l0QWRPbGY2akw0OEZMazBZZHdmTFFRTHpwY2tGWFFJeW43MVF4bmtoLXh0QTBMS0F4RFBXWHZxaVRlT2Q5MWdtNFp0dFFoY0JxenlCOUFmNDU1X1h6ejQ4Z0p3Ml85MA?oc=5&hl=en-US&gl=US&ceid=US:en
ITC,2026-04-08 17:27 IST,ITC Sunfeast Farmlite launches Sugar Free Cookies range - Indian Television,https://news.google.com/rss/articles/CBMikwFBVV95cUxNUzZOUVVGeDVXcTNaVUNzZUhlWGo1dEhfRy1RSzhpVnJIVUlHdnA3eHg4eDRzUG5XWG5iUFpkNWJlbXJDbEV0RGpvbU15aGdHWklQX0pZTm1zeGpJbVV2bHd3S1NwMGhnSC1abXRMVE9ranpBMVpyNXpHWVBVd3ZqYkJBbW9KamVDa3ktNTJaY1NFQms?oc=5&hl=en-US&gl=US&ceid=US:en
ITC,2026-04-08 16:02 IST,"ITC rises Wednesday, underperforms competitors - MarketWatch",https://news.google.com/rss/articles/CBMiowFBVV95cUxOQnhUZUNLaTB6TU1tbkp5azlLWFZtS2I2QUFpQ3BCN185bkVHSzl0bGw5ZUVEbzFESm53ZlIzNDA4NUlpMDE3RHdNX2ozam5BYWhRVWpYaURyamt0YnpxZGdBaVFLazBSS3BQeTNXREFVRVJIRmhydVFiWEdMVUFLU0N4Z1hha0NOZ2Q0dnZoZjF2NlVDOXp3Q1ZDSGZVMmtSU0w0?oc=5&hl=en-US&gl=US&ceid=US:en
ITC,2026-04-08 14:57 IST,Volumes soar at ITC Hotels Ltd counter - Dailyhunt,https://news.google.com/rss/articles/CBMixgFBVV95cUxQVzBCNl9sQnRvRW4yVFZpVFdBNlRHVFB0Q1ZDT3BRQnRHUHlKcXhoaDZ0cy15UWJNM1pKVWYwN205dmV3QXoyS1d2YmZmRnIzWXZoVzNISHhyVkI3Znd4dzNDZU9LYkR2UjNZRTlxQjNtZk8tQXUxZV8xcjQxdnp2em5MOUlIbE5GRDFrQWd5UTRDZUtjd1NVTzMyMzdjZmhQTXVGMnU5WTJXRUxkWThpZlA1TDNRbzZiXzdDeUcxQmVlU3RHVGc?oc=5&hl=en-US&gl=US&ceid=US:en
ITC,2026-04-08 13:52 IST,ITC Ltd gains for fifth session - Business Standard,https://news.google.com/rss/articles/CBMiswFBVV95cUxOSzNwMWduVlA5WDYxYWw2QTlud29JWUczaElxNHN1X1hzZmJ4SkJacE5HbFl0MnNWR1dpUlBuZnIxMzc5bGlOVlBNV2VPVXRROGpKNElvbmJkWDNrb01yQm1zcVZORGVtZm9VdzE1a1Q2NVhQNTdWQ0p5S2IxUlRyUHZReHFIRGs3QVlIaGRmYW1JMUltVmhOOVlacnhCc0NROGJLUWVFNWxFcUUtb2txVlNtZ9IBuAFBVV95cUxQOVNheFVjWkppNVByWmtjRENvbk9oczF5c1p5cy1zdVhBQ3Vud2xUS0VTMkEwUzFEZlFMNWNQRFZJYXdoQjBmTjFXc1lqeGxaS2VWOUZaaWI2ZDlWLWlzT0RpTXVBLUFQbDN6VThjUDNoRjQ2Y3pRUlp0OWI3UlZDYkdFc0t5ZV81dFhEMjF6aUk2eEF2QS01eTFNOXY1cFZxTk8yTTczakZSRF9aVVpUcUJaczVyYUg3?oc=5&hl=en-US&gl=US&ceid=US:en
ITC,2026-04-08 13:46 IST,ITC Sunfeast Farmlite Introduces Sugar Free Cookies for Mindful Snacking - Passionate In Marketing,https://news.google.com/rss/articles/CBMisAFBVV95cUxPVlRCZ1VPRFZ3VGRJa1o5UDZic25ndjZGSlc4dkxxQW9tSDEtcmNmR1hLVWI3SVVhUGFJTEVzWVRBcHZ1eEJMQXNpVGs4emVQX29OdlBfTm5QTjlINFNHc05oYWlZYXJ0OHFBUFRWd0V6bUFRblc2dXc5MndvY29NcUctR3V6RGJwZkE0Z2w2aDYxWGdISFhZeURZOHoyRl80WkhWQkVNWXpNMGw1aGlfag?oc=5&hl=en-US&gl=US&ceid=US:en
ITC,2026-04-08 12:47 IST,"RIL, ITC, Infosys, L&T: LIC loses Rs 47,000 cr notionally on top 5 portfolio stocks - MSN",https://news.google.com/rss/articles/CBMipgNBVV95cUxOUXUxRWFibmw4aDgzS2M0ZnBvR2dNTW1tUERSVThEb2JzZG16OFdDVTF1bzhmSi1GWGlZTm9ManRobXpkN01IQk5lNDRjVXRTQ3pwZEJoVGJ6NHdNVG95YnowRC1xdHRyZUxEbTUzdWdrblc1WDBHT0tfVF82Nmx1NUloWEVLYXNPd2UwbXFvY2dHcVVDSUJaTmR1RXVseEdjOFlVME5aNEM4dnl4d0JteDJ3R1U0c3dvR3kxNHFERjJNNURZVV93UFNZWk5kZ0FxSGx6bDhiZzJBVTBxRS1OSV91YW4zcGZkYy01cUQ4SkZlSmpQTDVTeC1oSkpvbTZfTElyLWU5TnNFUS1hakp4cG10cXBKVTRUT3pBcUJDZnpnS3Uwc1d0aU1zVXlJQ1pHNTd2TC1WN015Z2V3ajBSVjRyd1hEdkRmdlQ0d1lIbXRVWDBMRDViYW5BTmtfcjUxa0dWZWFjdWZzMFFNcWV5M0V4RTduQWdsT0lCdDNLQWx5SmRiVndMOHgzcC1XaVNZTVh6ek0yMTRDNFFBZG84WHBueXNSQQ?oc=5&hl=en-US&gl=US&ceid=US:en
ITC,2026-04-08 12:06 IST,ITC Limited Announces Completion of Ms. Nirupama Rao's Term as Independent Director - scanx.trade,https://news.google.com/rss/articles/CBMi1gFBVV95cUxOb19aZnRDN3lfa1pRQjVZUDFTaVNPblJNc0daMTd6bXo1UmJPRnNWcl9PcTJQU1ZKR3NXVHY3SDZQYU1SRU5XVkx3LWhfX2ZTbDltWjI3dVkyeGVRZDFBR3gzaExJYUNIckIzLTJ6MUFpQS1FQkttdFFjUFNuS09rVUZjVHhfeWhiaTlRMkh2MEt5Zms3TlBhUGtOZUtDZVpSaDlQamE3YXlYSnd3WmRLSWF2QmZwclA5OGd5V0lVQ2k5NHgzd3R0am5hZ0txT29WbElNX3ZB?oc=5&hl=en-US&gl=US&ceid=US:en
ITC,2026-04-08 11:53 IST,Health meets indulgence: ITC's push for better snacking with Sunfeast Farmlite's sugar-free cookies; Aims - timesofindia.indiatimes.com,https://news.google.com/rss/articles/CBMi1AJBVV95cUxPVHVQZzVOcWotaVhhQ1BiQ2YxbmpWOWNjTTR4cWtTWDdaMGhwZE4zUUJWdjI2cTk4Uy1BSUF4SzlFbE1sQ0JHMWJuUDRUMHpjbGhTNkswazJab0VtZlRfWTJOM3dPczU3S2hOSlpOc0RxdUZUZ0ZPekFkbUEweXlxVDdNRkZGOWRHVFo5VTNJbFE1eHpIMVhvdHFGdmVXN0Yta2lSWVludVBXWUljeEt1OUpsaE51Y18xaVF2dlJ5WHFwOFdsMmtmMU5COWxSbjNVOWE4NjUxSU1RTXRKWGtoa01RZ3VpOEdXY1V1anRha3g3SGRudU8tb0hBZXV5RzdvVHhLblJnbm5FYml4RUMzVng2Y05WM0VIMzhXTEpNRm5lUkx5VllzdGVGenRYM0RISHNyelZVa2pIQUdFc1ZuTndPT0VOcFlSWVA4OFpEdEtrdFF00gHUAkFVX3lxTE9UdVBnNU5xai1pWGFDUGJDZjFualY5Y2NNNHhxa1NYN1owaHBkTjNRQlZ2MjZxOThTLUFJQXhLOUVsTWxDQkcxYm5QNFQwemNsaFM2SzBrMlpvRW1mVF9ZMk4zd09zNTdLaE5KWk5zRHF1RlRnRk96QWRtQTB5eXFUN01GRkY5ZEdUWjlVM0lsUTV4ekgxWG90cUZ2ZVc3Ri1raVJZWW51UFdZSWN4S3U5SmxoTnVjXzFpUXZ2UnlYcXA4V2wya2YxTkI5bFJuM1U5YTg2NTFJTVFNdEpYa2hrTVFndWk4R1djVXVqdGFreDdIZG51Ty1vSEFldXlHN29UeEtuUmdubkViaXhFQzNWeDZjTlYzRUgzOFdMSk1GbmVSTHlWWXN0ZUZ6dFgzREhIc3J6VlVrakhBR0VzVm5Od09PRU5wWVJZUDg4WkR0S2t0UXQ?oc=5&hl=en-US&gl=US&ceid=US:en
